Al-Faatiha,7
Al-Baqara,286
Aal-i-Imraan,200
An-Nisaa,176
Al-Maaida,120
Al-an'aam,165
Al-A'raaf,206
Al-Anfaal,75
At-Tawba,129
Yunus,109
Hud,123
Yusuf,111
Ar-Ra'd,43
Ibrahim,52
Al-Hijr,99
An-Nahl,128
Al-Israa,111
Al-Kahf,110
Maryam,98
Taa-Haa,135
Al-Anbiyaa,112
Al-Hajj,78
Al-Muminoon,118
An-Noor,64
Al-Furqaan,77
Ash-Shu'araa,227
An-Naml,93
Al-Qasas,88
Al-Ankabut,69
Ar-Room,60
Luqman,34
As-Sajda,30
Al-Ahzaab,73
Saba,54
Faatir,45
Yaseen,83
As-Saaffaat,182
Saad,88
Az-Zumar,75
Ghafir,85
Fussilat,54
Ash-Shura,53
Az-Zukhruf,89
Ad-Dukhaan,59
Al-Jaathiya,37
Al-Ahqaf,35
Muhammad,38
Al-Fath,29
Al-Hujuraat,18
Qaaf,45
Adh-Dhaariyat,60
At-Tur,49
An-Najm,62
Al-Qamar,55
Ar-Rahman,78
Al-Waaqia,96
Al-Hadid,29
Al-Mujaadila,22
Al-Hashr,24
Al-Mumtahana,13
As-Saff,14
Al-Jumu'a,11
Al-Munaafiqoon,11
At-Taghaabun,18
At-Talaaq,12
At-Tahrim,12
Al-Mulk,30
Al-Qalam,52
Al-Haaqqa,52
Al-Ma'aarij,44
Nooh,28
Al-Jinn,28
Al-Muzzammil,20
Al-Muddaththir,56
Al-Qiyaama,40
Al-Insaan,31
Al-Mursalaat,50
An-Naba,40
An-Naazi'aat,46
Abasa,42
At-Takwir,29
Al-Infitaar,19
Al-Mutaffifin,36
Al-Inshiqaaq,25
Al-Burooj,22
At-Taariq,17
Al-A'laa,19
Al-Ghaashiya,26
Al-Fajr,30
Al-Balad,20
Ash-Shams,15
Al-Lail,21
Ad-Dhuhaa,11
Ash-Sharh,8
At-Tin,8
Al-Alaq,19
Al-Qadr,5
Al-Bayyina,8
Az-Zalzala,8
Al-Aadiyaat,11
Al-Qaari'a,11
t-Takaathur,8
Al-Asr,3
Al-Humaza,9
Al-Fil,5
Quraish,4
Al-Maa'un,7
Al-Kawthar,3
Al-Kaafiroon,6
An-Nasr,3
Al-Masad,5
Al-Ikhlas,4
Al-Falaq,5
An-Naas,6
